"Concepte";"Nom";"Tipologia";"Superficie";"Usuaris";"Gener [kWh]";"Febrer [kWh]";"Març [kWh]";"Abril [kWh]";"Maig [kWh]";"Juny [kWh]";"Juliol [kWh]";"Agost [kWh]";"Setembre [kWh]";"Octubre [kWh]";"Novembre [kWh]";"Desembre [kWh]";"Gener[€]";"Febrer[€]";"Març[€]";"Abril[€]";"Maig[€]";"Juny[€]";"Juliol[€]";"Agost[€]";"Setembre[€]";"Octubre[€]";"Novembre[€]";"Desembre[€]"
"Total";"EVENTUALS";"Altres";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Total";"HABITATGE GUADIANA 29_COMUNITAT PROPIETARIS A";"Residencial";"";"0";"310";"282";"260";"190";"251";"301";"475";"453";"438";"468";"447";"443";"211";"196";"203";"186";"202";"202";"230";"227";"221";"230";"221";"226"
"Total";"HABITATGE GUADIANA29_COMUNITAT PROPIETARIS B";"Residencial";"";"0";"206";"203";"308";"285";"202";"185";"175";"142";"146";"151";"134";"144";"193";"181";"204";"196";"192";"185";"189";"185";"180";"186";"179";"185"
"Total";"HABITATGE MONTJUIC 4";"Residencial";"";"0";"186";"162";"174";"169";"151";"142";"157";"157";"160";"166";"193";"203";"50";"45";"48";"47";"45";"42";"45";"46";"45";"47";"51";"53"
"Total";"HABITATGE AGUDES 69 -MAS MASO 1 - 4T 6A";"Residencial";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Total";"HABITATGE RONDA PEDRET 6 - 4T 1A";"Residencial";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Total";"HABITATGE RONDA PEDRET 2 - 3R 2A";"Residencial";"";"0";"527";"455";"434";"208";"305";"656";"627";"482";"542";"816";"751";"616";"38";"34";"33";"19";"25";"44";"45";"45";"44";"49";"45";"38"
"Total";"HABITATGE MONTSENY 32 2 2";"Residencial";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Total";"ANTIC EDIFICI UNED";"Altres";"";"0";"4312";"2666";"2273";"83";"181";"584";"549";"615";"597";"676";"1.042";"607";"632";"430";"400";"148";"164";"212";"212";"219";"212";"226";"263";"214"
"Total";"PARKING HABITATGES GUADIANA";"Residencial";"";"0";"0";"8";"61";"74";"219";"224";"273";"294";"369";"375";"323";"325";"49";"48";"63";"63";"92";"91";"102";"105";"118";"120";"109";"113"
"Total";"HABITATGE AGUDES 69 - 3R 1A";"Residencial";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Total";"HABITATGE RONDA PEDRET 6- 2N 2A";"Residencial";"";"0";"286";"1.036";"1.192";"1494";"1333";"440";"456";"460";"701";"1596";"1672";"2257";"18";"67";"76";"92";"84";"34";"35";"34";"45";"88";"92";"122"
"Total";"HABITATGE GUADIANA 29 BX-4";"Residencial";"";"0";"1.981";"1.095";"1.170";"519";"581";"966";"955";"333";"429";"1.985";"2.073";"3.558";"122";"71";"76";"37";"41";"61";"63";"54";"56";"108";"114";"208"
"Total";"HABITATGE GUADIANA 29 - 1R 2A";"Residencial";"";"0";"756";"302";"322";"183";"183";"127";"130";"121";"121";"177";"215";"632";"54";"24";"25";"16";"16";"12";"12";"11";"11";"14";"16";"43"
"Total";"HABITATGE AGUDES 69 - 4T 6A";"Residencial";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Total";"HABITATGE AURORA BERTRANA I SALAZAR 6-8- 1C";"Residencial";"";"0";"1.255";"576";"616";"243";"260";"332";"328";"109";"165";"1033";"1124";"2.312";"80";"41";"44";"21";"23";"26";"27";"27";"28";"60";"66";"145"
"Total";"CASA PASTORS";"Cultural";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9";"9";"9";"9";"9";"9";"9";"9";"9";"9";"9";"9"
"Electricitat";"ANTIGA BIBLIOTECA SALVADOR ALLENDE";"Cultural";"";"0";"182";"346";"776";"422";"177";"783";"1.038";"919";"826";"595";"418";"1.290";"459";"380";"253";"185";"143";"251";"300";"278";"257";"218";"182";"346"
"Electricitat";"CIRC FIRES";"Altres";"";"0";"92";"99";"9";"8";"5";"5";"5";"5";"6";"27";"130";"149";"102";"68";"72";"70";"71";"69";"71";"71";"69";"75";"92";"99"
"Electricitat";"REG JARDÍ DEL DOCTOR FIGUERAS";"Altres";"";"0";"22";"23";"5";"5";"6";"5";"5";"4";"2";"1";"0";"0";"24";"23";"24";"24";"24";"24";"24";"24";"23";"23";"22";"23"
"Electricitat";"FONT DEL FERRO";"Altres";"";"0";"15";"15";"1";"1";"7";"9";"8";"8";"6";"6";"3";"3";"16";"14";"15";"14";"16";"16";"16";"16";"15";"15";"15";"15"
"Electricitat";"REIXA SÈQUIA MONAR MARISTES";"Altres";"";"0";"153";"173";"130";"210";"458";"576";"774";"778";"759";"803";"809";"925";"66";"58";"43";"56";"97";"116";"149";"149";"145";"153";"153";"173"
"Electricitat";"POU MONTSERRAT";"Altres";"";"0";"75";"77";"87";"75";"84";"88";"1637";"2699";"2025";"89";"75";"78";"79";"73";"79";"74";"78";"77";"381";"562";"433";"79";"75";"77"
"Electricitat";"MOTORS JARDINS DEVESA";"Altres";"";"0";"43";"44";"7";"7";"10";"9";"7";"7";"7";"8";"11";"10";"44";"41";"44";"42";"44";"43";"44";"44";"43";"44";"43";"44"
"Electricitat";"CASETA DE LA DEVESA";"Cultural";"";"0";"63";"68";"38";"25";"25";"25";"27";"45";"56";"52";"27";"37";"71";"72";"67";"63";"65";"63";"65";"68";"68";"70";"63";"68"
"Electricitat";"ASSOCIACIÓ VEÏNS DE LA DEVESA";"Cultural";"";"0";"648";"373";"787";"762";"788";"762";"1864";"2941";"2038";"2310";"3911";"1493";"754";"500";"255";"247";"255";"268";"444";"571";"423";"441";"648";"373"
"Electricitat";"CEMENTIRI";"Altres";"";"0";"200";"259";"591";"470";"425";"357";"359";"362";"351";"622";"1.051";"1.392";"213";"216";"125";"105";"98";"86";"87";"88";"85";"130";"200";"259"
"Electricitat";"CEMENTIRI DE SANTA EUGÈNIA";"Altres";"";"0";"18";"18";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"18";"17";"18";"18";"19";"19";"18";"18";"18";"18";"18";"18"
"Electricitat";"CENTRE CULTURAL LA MERCÈ";"Cultural";"";"0";"2478";"2185";"9290";"1777";"3553";"11889";"13587";"7925";"10698";"8861";"11020";"11761";"2817";"2776";"1869";"822";"1091";"2168";"2460";"1705";"2008";"1797";"2478";"2185"
"Electricitat";"CENTRE CÍVIC DEL TER / BIBLIOTECA ANTÒNIA ADROHER";"Cultural";"";"0";"2.879";"3.523";"12.501";"3.877";"3.892";"10.208";"17.042";"15.342";"13.573";"13.866";"14.850";"19.266";"3.877";"3.199";"2.562";"1.358";"1.413";"2.285";"3.359";"3.179";"2.758";"2.885";"2.879";"3.523"
"Electricitat";"CENTRE CÍVIC PLA DE PALAU / BIBLIOTECA ERNEST LLUCH";"Cultural";"";"0";"978";"1.284";"5.549";"1.829";"2.549";"3.984";"7.457";"6.055";"5.086";"4.936";"5.180";"7.492";"1.639";"1.304";"1.051";"593";"684";"860";"1.376";"1.164";"1.003";"985";"978";"1.284"
"Electricitat";"CENTRE CÍVIC PONT MAJOR / BIBLIOTECA JUST M. CASERO";"Cultural";"";"0";"1.703";"2.184";"6.079";"2.358";"3.224";"5.760";"8.441";"9.598";"7.937";"8.346";"9.309";"12.859";"2.937";"1.948";"1.217";"719";"830";"1.196";"1.625";"1.753";"1.487";"1.638";"1.703";"2.184"
"Electricitat";"CONSULTORI PONT MAJOR";"Sanitari";"";"0";"268";"331";"1.036";"259";"322";"525";"660";"799";"570";"679";"1.129";"1.450";"408";"277";"253";"108";"122";"157";"184";"210";"165";"188";"268";"331"
"Electricitat";"COOPERACIÓ";"Oficina";"";"0";"243";"252";"861";"718";"655";"713";"1064";"1059";"1009";"1087";"1.233";"1.271";"269";"281";"183";"159";"150";"158";"216";"216";"206";"220";"243";"252"
"Electricitat";"PLAÇA JURATS";"Cultural";"";"0";"274";"614";"824";"42";"44";"60";"1821";"1.736";"261";"805";"1.183";"3.022";"851";"632";"210";"64";"66";"68";"447";"398";"105";"206";"274";"614"
"Electricitat";"MAS ABELLA";"Cultural";"";"0";"234";"239";"865";"684";"774";"777";"1.242";"1.159";"845";"939";"968";"975";"293";"240";"217";"182";"200";"199";"286";"271";"212";"231";"234";"239"
"Electricitat";"SERVEI MUNICIPAL D'OCUPACIÓ";"Oficina";"";"0";"1.388";"1.512";"6850";"3339";"2419";"6544";"10109";"7498";"6348";"7628";"8967";"9.957";"1526";"1174";"1121";"681";"589";"1229";"1785";"1300";"1131";"1250";"1388";"1512"
"Electricitat";"CASETA JARDINERS PEDRET";"Altres";"";"0";"73";"78";"134";"101";"81";"74";"90";"91";"82";"84";"227";"252";"97";"87";"59";"52";"50";"48";"52";"52";"49";"51";"73";"78"
"Electricitat";"LOCAL SOCIAL SANT DANIEL CAN PRIMI";"Oficina";"";"0";"87";"89";"145";"120";"115";"110";"176";"188";"105";"100";"83";"84";"99";"138";"100";"93";"95";"91";"106";"108";"90";"92";"87";"89"
"Electricitat";"FUNDACIO ESCOLA ART FLORAL";"Oficina";"";"0";"147";"160";"291";"212";"235";"231";"239";"239";"436";"474";"785";"863";"215";"202";"67";"53";"57";"56";"58";"58";"90";"96";"147";"160"
"Electricitat";"REPETIDOR TORRE ALFONS XII";"Altres";"";"0";"62";"63";"151";"146";"148";"141";"136";"129";"136";"150";"130";"125";"68";"64";"67";"65";"67";"64";"65";"64";"64";"67";"62";"63"
"Electricitat";"HABITATGE MUNICIPAL CAN COLOMER";"Residencial";"";"0";"91";"94";"407";"396";"409";"396";"409";"409";"397";"410";"396";"409";"94";"87";"94";"91";"95";"91";"94";"94";"92";"95";"91";"94"
"Electricitat";"HABITATGE MUNICIPAL FONTAJAU 5- 8E 4A";"Residencial";"";"0";"40";"42";"178";"173";"123";"109";"103";"102";"121";"127";"133";"138";"45";"44";"48";"47";"39";"36";"36";"36";"38";"40";"40";"42"
"Electricitat";"HABITATGE MUNICIPAL ST GREGORI 89- 6E 1A";"Residencial";"";"0";"48";"53";"64";"60";"53";"49";"56";"57";"50";"52";"179";"205";"32";"30";"30";"28";"28";"26";"28";"28";"27";"27";"48";"53"
"Electricitat";"LOCAL D'INCASOL CEDIT L'ÚS A L'AJUNTAMENT";"Oficina";"";"0";"18";"18";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"18";"17";"18";"18";"18";"18";"19";"19";"19";"19";"18";"18"
"Electricitat";"ANTIGUES ESCOLES CAMPDORÀ";"Cultural";"";"0";"43";"44";"401";"355";"270";"266";"280";"251";"191";"175";"124";"118";"95";"87";"89";"81";"68";"66";"69";"65";"54";"52";"43";"44"
"Electricitat";"CAPELLA DE SANT NICOLAU";"Cultural";"";"0";"1212";"1012";"3984";"3654";"1789";"1361";"347";"274";"1485";"1578";"3808";"4019";"894";"859";"693";"638";"335";"264";"99";"87";"284";"300";"1212";"1012"
"Electricitat";"LOCAL SOCIAL GRUP SANT DANIEL";"Oficina";"";"0";"57";"60";"18";"20";"25";"21";"17";"17";"17";"18";"19";"18";"59";"56";"59";"58";"60";"58";"59";"59";"57";"59";"57";"60"
"Electricitat";"LOCAL SOCIAL SANT DANIEL";"Cultural";"";"0";"125";"132";"477";"343";"248";"216";"401";"436";"296";"292";"360";"385";"377";"371";"147";"123";"109";"102";"134";"140";"115";"117";"125";"132"
"Electricitat";"LOCAL SOCIAL DE MONTJUÏC";"Cultural";"";"0";"175";"220";"407";"225";"228";"263";"345";"305";"304";"682";"-30";"422";"421";"278";"217";"174";"179";"182";"201";"192";"191";"228";"175";"220"
"Electricitat";"ANTIC COM RADIO";"Cultural";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Electricitat";"LOCAL SOCIAL DE LA TORRASSA";"Cultural";"";"0";"116";"204";"1372";"617";"325";"33";"105";"38";"41";"55";"324";"786";"610";"412";"310";"170";"118";"62";"77";"65";"64";"68";"116";"204"
"Electricitat";"LOCAL SOCIAL MONTILIVI";"Oficina";"";"0";"174";"242";"842";"731";"732";"685";"620";"590";"563";"560";"554";"914";"349";"300";"224";"202";"206";"195";"187";"183";"175";"177";"174";"242"
"Electricitat";"OFICINA MUNICIPAL HABITATGE";"Oficina";"";"0";"139";"142";"391";"333";"409";"414";"645";"697";"718";"753";"682";"695";"132";"132";"92";"81";"95";"95";"133";"142";"144";"151";"139";"142"
"Electricitat";"HABITATGE MUNICIPAL ST. GREGORI 89- 5E 4A";"Residencial";"";"0";"38";"39";"130";"127";"140";"138";"133";"131";"114";"117";"116";"121";"38";"36";"40";"39";"42";"41";"41";"40";"37";"38";"38";"39"
"Electricitat";"AJUNTAMENT";"Oficina";"";"0";"6895";"8000";"37659";"28194";"30806";"40986";"56605";"52172";"43788";"38950";"42015";"51200";"8132";"6835";"6352";"5170";"5606";"6886";"9013";"8400";"7249";"6592";"6895";"8000"
"Electricitat";"LOCAL D'INCASOL CEDIT L'ÚS A L'AJUNTAMENT";"Oficina";"";"0";"19";"19";"2";"1";"1";"2";"4";"4";"5";"6";"2";"1";"20";"19";"19";"19";"19";"19";"20";"20";"19";"20";"19";"19"
"Electricitat";"CINEMA TRUFFAUT - RÀDIO";"Cultural";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Electricitat";"HOTEL INFORM";"Oficina";"";"0";"50";"51";"132";"113";"12";"62";"237";"215";"121";"112";"54";"53";"70";"60";"64";"60";"45";"51";"81";"78";"61";"61";"50";"51"
"Electricitat";"ANTIGA CASA PASTORA";"Oficina";"";"0";"49";"50";"37";"33";"33";"32";"32";"32";"81";"83";"79";"81";"62";"44";"43";"41";"42";"41";"42";"42";"49";"51";"49";"50"
"Electricitat";"POLICIA MUNICIPAL";"Oficina";"";"0";"2064";"2211";"4618";"11732";"21394";"17034";"18520";"18329";"15151";"14718";"15042";"16279";"2305";"1874";"821";"1655";"2809";"2416";"2768";"2751";"2235";"2086";"2064";"2211"
"Electricitat";"ESCOLA MIGDIA";"Educació";"";"0";"1.261";"1.300";"3.814";"2.230";"1.916";"2.287";"2.671";"2.667";"5.087";"7.246";"7.493";"7.715";"1.065";"1.028";"778";"561";"531";"576";"635";"636";"957";"1.236";"1.261";"1.300"
"Electricitat";"ESCOLA STA. EUGÈNIA";"Educació";"";"0";"579";"612";"1.427";"1.176";"1.128";"1.079";"881";"867";"2.149";"2.317";"3.134";"3.324";"592";"561";"302";"259";"253";"243";"213";"211";"417";"447";"579";"612"
"Electricitat";"ESCOLA DALMAU CARLES";"Educació";"";"0";"881";"741";"3.449";"1.635";"1.756";"2.442";"2.143";"1447";"4.141";"4.783";"5.270";"4.093";"826";"832";"661";"429";"452";"532";"509";"421";"760";"852";"881";"741"
"Electricitat";"ESCOLA MARE DE DEU DEL MONT";"Educació";"";"0";"655";"671";"2.871";"0";"920";"2.122";"1.209";"919";"2.451";"3.213";"3.993";"3.999";"587";"582";"523";"163";"273";"411";"315";"277";"473";"575";"655";"671"
"Electricitat";"ESCOLA VILA-ROJA";"Educació";"";"0";"625";"688";"2.334";"52";"1.855";"1.991";"2.123";"4.863";"-2.294";"451";"2.453";"2.843";"670";"647";"615";"334";"561";"565";"598";"948";"807";"603";"625";"688"
"Electricitat";"ESCOLA PLA DE GIRONA";"Educació";"";"0";"1.529";"1.258";"5.240";"1.867";"1.632";"2.712";"2.314";"1.938";"6.289";"8.238";"9.076";"6.965";"1448";"1393";"1059";"579";"565";"698";"661";"611";"1172";"1485";"1529";"1258"
"Electricitat";"ESCOLA FONT DE LA POLVORA";"Educació";"";"0";"479";"473";"2.043";"0";"1.721";"1.864";"953";"954";"921";"1.517";"2.611";"2.464";"528";"498";"403";"158";"380";"389";"268";"269";"263";"352";"479";"473"
"Electricitat";"ESCOLA MONTJUÏC";"Educació";"";"0";"634";"526";"7";"7";"1";"5.453";"1.256";"1.280";"2.554";"3.264";"3.577";"2.870";"569";"608";"178";"172";"177";"826";"342";"346";"505";"644";"634";"526"
"Electricitat";"ESCOLA CASSIA COSTAL";"Educació";"";"0";"1.191";"1.150";"4.035";"3.761";"3.378";"3.441";"3434";"2.893";"4.866";"7.124";"6.781";"6.480";"1274";"1319";"865";"814";"760";"755";"763";"691";"938";"1247";"1191";"1150"
"Electricitat";"CEE FONT DE L'ABELLA";"Educació";"";"0";"1.071";"1.141";"4.686";"409";"3.840";"5.087";"5.586";"2.881";"3.192";"6.055";"6.441";"6.798";"1.068";"1.055";"843";"305";"739";"883";"949";"615";"661";"1.032";"1.071";"1.141"
"Electricitat";"ESCOLA JOAN BRUGUERA";"Educació";"";"0";"1.031";"973";"0";"2.602";"5.762";"4.169";"2.497";"2.358";"3.888";"6.194";"5.934";"5.456";"1.028";"739";"303";"612";"1.009";"804";"609";"593";"784";"1.089";"1.031";"973"
"Electricitat";"ESCOLA PERICOT BARRACONS";"Educació";"";"0";"1.630";"2.674";"6.531";"1.902";"1.063";"1.866";"1.841";"712";"3.047";"6.162";"10.228";"17.413";"2.409";"1.754";"1.170";"579";"486";"580";"585";"441";"739";"1.306";"1.630";"2.674"
"Electricitat";"ESCOLA BALANDRAU";"Educació";"";"0";"964";"996";"7.466";"0";"373";"3.295";"4.096";"8647";"7.937";"6.422";"6.214";"6.421";"1.120";"1.271";"1.383";"203";"256";"612";"708";"1251";"1161";"996";"964";"996"
"Electricitat";"ESCOLA VERD";"Educació";"";"0";"973";"938";"2.198";"1.558";"1.501";"1.459";"1578";"2.050";"2.945";"3.669";"4.905";"4.742";"1.014";"818";"573";"462";"432";"433";"472";"548";"681";"800";"973";"938"
"Electricitat";"ESCOLA EIXIMENIS";"Educació";"";"0";"792";"687";"2.244";"1.670";"1.242";"1.273";"1.488";"2.068";"3.616";"4.068";"4.721";"4.061";"650";"717";"389";"294";"225";"229";"265";"360";"612";"686";"792";"687"
"Electricitat";"CEE PALAU";"Educació";"";"0";"622";"555";"3.133";"1.237";"1.118";"1.516";"1.041";"1.068";"2.936";"3.620";"3.658";"3.080";"796";"751";"569";"333";"326";"371";"335";"306";"544";"634";"622";"555"
"Electricitat";"ESCOLA TAIALÀ";"Educació";"";"0";"1.718";"1.638";"6.794";"2.858";"2.918";"4.422";"4.279";"2.843";"7.675";"9.226";"11.016";"10.086";"1689";"1521";"1186";"675";"697";"870";"873";"687";"1325";"1548";"1718";"1638"
"Electricitat";"ESCOLA ANNEXA-JOAN PUIGBERT";"Educació";"";"0";"1.053";"978";"4.393";"1.641";"1.617";"2.261";"2.525";"2.115";"4.629";"5.882";"6.508";"5.894";"1.118";"1.028";"791";"431";"437";"511";"551";"497";"820";"980";"1.053";"978"
"Electricitat";"ESCOLA MONTFALGARS";"Educació";"";"0";"1.168";"1.001";"4.114";"393";"1.988";"2.802";"2.710";"1.716";"5.559";"6.337";"7.016";"5.672";"1.022";"1.081";"801";"322";"522";"616";"619";"487";"977";"1.088";"1.168";"1.001"
"Electricitat";"ESCOLA BRESSOL EL TREN";"Educació";"";"0";"300";"269";"725";"219";"280";"533";"570";"236";"1.187";"1.125";"1.327";"1.145";"378";"306";"191";"96";"110";"154";"163";"101";"283";"265";"300";"269"
"Electricitat";"ESCOLA BRESSOL GARBÍ";"Educació";"";"0";"316";"309";"838";"288";"362";"997";"1.493";"768";"1254";"1.369";"1.571";"1.533";"399";"304";"202";"119";"132";"236";"327";"183";"262";"320";"316";"309"
"Electricitat";"CAMP DE FUTBOL DE VILAROJA";"Esportiu";"";"0";"396";"428";"864";"597";"568";"509";"461";"419";"555";"737";"706";"831";"474";"444";"429";"373";"378";"359";"362";"355";"367";"408";"396";"428"
"Electricitat";"PAVELLÓ DE SANTA EUGÈNIA";"Esportiu";"";"0";"564";"755";"4582";"4432";"4581";"1532";"2624";"2643";"4685";"4114";"2.884";"4.234";"795";"741";"792";"767";"792";"399";"537";"524";"789";"728";"564";"755"
"Electricitat";"ZONA ESPORTIVA DEVESA";"Esportiu";"";"0";"1.926";"1.648";"4.004";"2.542";"10.441";"13.893";"19.768";"24.262";"23.455";"17.842";"13.223";"10.747";"1173";"1066";"868";"666";"1596";"2005";"2708";"3242";"3130";"2509";"1926";"1648"
"Electricitat";"CAMP DE FUTBOL DE CAN GIBERT";"Esportiu";"";"0";"504";"798";"2.866";"914";"826";"880";"1.040";"1.467";"2.906";"2.780";"1.499";"3.134";"1.205";"1.176";"753";"382";"377";"373";"406";"498";"735";"738";"504";"798"
"Electricitat";"PAVELLÓ DE PALAU";"Esportiu";"";"0";"1.178";"1.375";"3.820";"5.264";"2.669";"1.595";"3.296";"2.842";"4.977";"5.683";"4.709";"5.799";"1.902";"1.749";"1001";"1206";"737";"601";"910";"798";"1.188";"1.332";"1.178";"1.375"
"Electricitat";"PAVELLÓ DE VILA-ROJA";"Esportiu";"";"0";"666";"755";"1.981";"1.370";"1.078";"938";"2.213";"2.126";"1.582";"3.727";"3.743";"4.408";"781";"623";"468";"394";"370";"361";"556";"499";"406";"672";"666";"755"
"Electricitat";"PISTA ESPORTIVA FONTAJAU";"Esportiu";"";"0";"34";"35";"6";"5";"7";"5";"5";"6";"1";"0";"0";"0";"37";"35";"37";"36";"37";"36";"37";"37";"35";"35";"34";"35"
"Electricitat";"PISCINA CAN GIBERT DEL PLA";"Piscina";"";"0";"3311";"3902";"21696";"15767";"17981";"20942";"34513";"29987";"21542";"26953";"22309";"26998";"4013";"3717";"3269";"2536";"2829";"3160";"4532";"4192";"3225";"3884";"3311";"3902"
"Electricitat";"CAMP DE FUTBOL GERMANS SÀBAT";"Esportiu";"";"0";"736";"855";"3.356";"1.301";"2.433";"2.206";"2.859";"3.803";"4.954";"4.476";"2.493";"3.643";"1.356";"1.292";"900";"535";"663";"651";"737";"850";"1.011";"982";"736";"855"
"Electricitat";"PISTA DE BOTXES";"Esportiu";"";"0";"0";"0";"744";"457";"482";"457";"601";"872";"739";"25";"0";"0";"168";"-168";"150";"106";"111";"106";"126";"162";"148";"5";"0";"0"
"Electricitat";"PISCINA DE PALAU";"Piscina";"";"0";"3254";"4.569";"22959";"14151";"14507";"19756";"23966";"12584";"24165";"24.784";"20.369";"26889";"5619";"4239";"3374";"2217";"2283";"2886";"3406";"2051";"3409";"3541";"3254";"4569"
"Electricitat";"CAMP DE FUTBOL DE FONTAJAU";"Esportiu";"";"0";"912";"1414";"5317";"3629";"3008";"2994";"3088";"3008";"5041";"5453";"4336";"5899";"1831";"1562";"1194";"678";"601";"592";"661";"728";"982";"1164";"912";"1414"
"Electricitat";"PAVELLÓ DE FONTAJAU";"Esportiu";"";"0";"4.940";"7.065";"31.359";"19.939";"9.035";"11.437";"16.192";"13.912";"19.737";"20.603";"25.293";"40.797";"7.408";"5.920";"5.765";"4.160";"2.937";"3.183";"3.857";"3.566";"4.249";"4.426";"4.940";"7.065"
"Electricitat";"PAVELLÓ DE PONT MAJOR";"Esportiu";"";"0";"421";"664";"2.121";"665";"1.004";"759";"1.550";"1.121";"2.946";"3.179";"1.917";"3.218";"834";"846";"453";"237";"305";"266";"380";"311";"536";"594";"421";"664"
