"Concepte";"Nom";"Tipologia";"Superficie";"Usuaris";"Gener [kWh]";"Febrer [kWh]";"Març [kWh]";"Abril [kWh]";"Maig [kWh]";"Juny [kWh]";"Juliol [kWh]";"Agost [kWh]";"Setembre [kWh]";"Octubre [kWh]";"Novembre [kWh]";"Desembre [kWh]";"Gener[€]";"Febrer[€]";"Març[€]";"Abril[€]";"Maig[€]";"Juny[€]";"Juliol[€]";"Agost[€]";"Setembre[€]";"Octubre[€]";"Novembre[€]";"Desembre[€]"
"Electricitat";"EDIFICI HABITATGES TORIN";"Residencial";"";"0";"310";"321";"796";"764";"838";"819";"875";"873";"844";"902";"983";"1.007";"282";"268";"285";"275";"292";"283";"298";"297";"288";"302";"310";"321"
"Electricitat";"HABITATGE GUADIANA 29 - 1R 3A";"Residencial";"";"0";"36";"36";"134";"131";"135";"131";"135";"134";"135";"145";"129";"122";"36";"33";"37";"36";"37";"36";"37";"37";"37";"39";"36";"36"
"Electricitat";"CASA SOLER";"Altres";"";"0";"92";"94";"407";"396";"409";"396";"409";"409";"396";"409";"392";"390";"95";"88";"95";"93";"96";"93";"96";"96";"93";"96";"92";"94"
"Electricitat";"HABITATGE RONDA PEDRET 10- BXS 2";"Residencial";"";"0";"43";"45";"126";"121";"114";"109";"125";"126";"104";"106";"120";"126";"48";"42";"45";"44";"43";"42";"45";"45";"41";"42";"43";"45"
"Electricitat";"CENTRE DE DIA GÜELL";"Altres";"";"0";"198";"214";"373";"273";"274";"292";"276";"276";"335";"427";"482";"579";"196";"192";"187";"170";"174";"172";"175";"175";"178";"194";"198";"214"
"Electricitat";"CENTRE DE DISTRIBUCIÓ D'ALIMENTS SANTA EUGÈNIA";"Oficina";"";"0";"392";"420";"1087";"327";"411";"580";"663";"369";"513";"821";"1455";"1672";"482";"424";"352";"251";"269";"283";"301";"263";"274";"320";"392";"420"
"Electricitat";"ESPAI JOVE GÜELL";"Altres";"";"0";"325";"313";"2889";"2083";"2444";"3732";"4455";"2032";"1651";"1919";"1559";"1413";"515";"519";"504";"398";"453";"631";"723";"387";"340";"381";"325";"313"
"Electricitat";"Quadre de festa";"Altres";"";"0";"311";"578";"492";"364";"778";"500";"539";"595";"621";"741";"1005";"2910";"409";"257";"249";"227";"278";"245";"259";"264";"261";"287";"311";"578"
"Electricitat";"OFICINES BÒLIT";"Oficina";"";"0";"440";"504";"695";"394";"719";"764";"1085";"1289";"701";"1313";"2153";"2682";"537";"463";"237";"186";"230";"237";"297";"335";"231";"316";"440";"504"
"Electricitat";"EVENTUALS NADAL";"Altres";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Electricitat";"HABITATGE GUADIANA 29 - 2N 8A";"Residencial";"";"0";"33";"38";"96";"96";"108";"124";"143";"139";"109";"101";"113";"136";"41";"28";"31";"30";"33";"35";"38";"38";"32";"32";"33";"38"
"Electricitat";"HABITATGE AGUDES 69 - 6E 6A";"Residencial";"";"0";"28";"24";"186";"180";"175";"163";"122";"109";"101";"104";"27";"0";"56";"51";"55";"53";"53";"50";"45";"42";"40";"41";"28";"24"
"Electricitat";"EVENTUALS";"Altres";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Electricitat";"HABITATGE GUADIANA 29_COMUNITAT PROPIETARIS A";"Residencial";"";"0";"221";"226";"260";"190";"251";"301";"475";"453";"438";"468";"447";"443";"211";"196";"203";"186";"202";"202";"230";"227";"221";"230";"221";"226"
"Electricitat";"HABITATGE GUADIANA29_COMUNITAT PROPIETARIS B";"Residencial";"";"0";"179";"185";"308";"285";"202";"185";"175";"142";"146";"151";"134";"144";"193";"181";"204";"196";"192";"185";"189";"185";"180";"186";"179";"185"
"Electricitat";"HABITATGE MONTJUIC 4";"Residencial";"";"0";"51";"53";"174";"169";"151";"142";"157";"157";"160";"166";"193";"203";"50";"45";"48";"47";"45";"42";"45";"46";"45";"47";"51";"53"
"Electricitat";"HABITATGE AGUDES 69 -MAS MASO 1 - 4T 6A";"Residencial";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Electricitat";"HABITATGE RONDA PEDRET 6 - 4T 1A";"Residencial";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Electricitat";"HABITATGE RONDA PEDRET 2 - 3R 2A";"Residencial";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Electricitat";"HABITATGE MONTSENY 32 2 2";"Residencial";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Electricitat";"ANTIC EDIFICI UNED";"Altres";"";"0";"263";"214";"2273";"83";"181";"584";"549";"615";"597";"676";"1042";"607";"632";"430";"400";"148";"164";"212";"212";"219";"212";"226";"263";"214"
"Electricitat";"PARKING HABITATGES GUADIANA";"Residencial";"";"0";"109";"113";"61";"74";"219";"224";"273";"294";"369";"375";"323";"325";"49";"48";"63";"63";"92";"91";"102";"105";"118";"120";"109";"113"
"Gas";"CAMP DE FUTBOL TORRES DE PALAU";"Esportiu";"";"0";"15.370";"13.160";"898";"10.821";"1.654";"2.899";"2.720";"2.864";"2.754";"3.406";"3.397";"7.633";"871";"763";"167";"617";"183";"239";"221";"227";"218";"242";"238";"414"
"Gas";"ESCOLA BRESSOL EL TREN";"Educació";"";"0";"7.389";"6.952";"6.473";"0";"113";"1.126";"1.135";"709";"1.114";"3.360";"4.598";"11.706";"462";"431";"410";"65";"73";"120";"123";"100";"115";"213";"266";"585"
"Gas";" PAVELLÓ DE VILA-ROJA";"Esportiu";"";"0";"17.800";"21.047";"6.496";"5.049";"1.034";"3.449";"15.949";"20.221";"-14201";"-2.227";"3.238";"16.743";"1263";"1180";"438";"365";"155";"261";"798";"983";"-490";"5";"228";"781"
"Gas";" AJUNTAMENT";"Oficina";"";"0";"71.615";"55.393";"5.467";"0";"27.068";"31.472";"27948";"4458";"21";"24.361";"52.875";"67.777";"3.640";"2.828";"399";"129";"1.425";"1.631";"1466";"345";"130";"1118";"2.268";"2.890"
"Gas";" ESCOLA MONTJUÏC";"Educació";"";"0";"17.701";"16.389";"4.586";"0";"3.256";"4869";"4972";"2412";"0";"7877";"17.677";"18.209";"972";"899";"329";"102";"261";"335";"343";"221";"102";"424";"818";"849"
"Gas";" PISCINA DE PALAU";"Piscina";"";"0";"197.289";"166.635";"11.325";"107.968";"22.035";"36.622";"25.997";"31.596";"48.882";"97.455";"104.989";"202.198";"9.847";"8.233";"652";"5.251";"1.152";"1.839";"1.216";"1.450";"2.181";"4.046";"4.344";"8.319"
"Gas";" PAVELLÓ DE SANTA EUGÈNIA";"Esportiu";"";"0";"34.555";"28.155";"1.902";"0";"0";"7.628";"12.163";"11.020";"13.295";"8.372";"9.599";"13.146";"1.810";"1.469";"193";"97";"100";"460";"660";"607";"702";"444";"486";"635"
"Gas";" HABITATGE MUNICIPAL ST. GREGORI 89- 5E 4A";"Residencial";"";"0";"1.270";"1077";"870";"645";"604";"502";"547";"578";"595";"658";"749";"906";"82";"70";"58";"45";"42";"36";"37";"38";"38";"40";"44";"52"
"Gas";" BRIGADES OBRES";"Altres";"";"0";"31.520";"26.425";"7.404";"16.855";"7.605";"328";"114";"0";"26";"4.589";"18.018";"29.777";"1.651";"1.388";"467";"907";"469";"118";"111";"106";"103";"291";"831";"1.324"
"Gas";" OFICINA MUNICIPAL HABITATGE";"Oficina";"";"0";"7.768";"6.919";"707";"10.094";"0";"0";"0";"0";"719";"5.009";"6.265";"8.526";"476";"426";"104";"584";"67";"65";"67";"67";"98";"284";"337";"439"
"Gas";"ESCOLA BRESSOL GARBÍ";"Educació";"";"0";"6.904";"7.978";"561";"3.035";"0";"747";"1.125";"146";"1.030";"4.040";"8.696";"9.628";"433";"481";"96";"220";"67";"103";"119";"73";"112";"241";"442";"487"
"Gas";" TEATRE MUNICIPAL";"Cultural";"";"0";"47575";"38498";"10570";"0";"31.113";"12.964";"0";"0";"6078";"17.083";"24.054";"36.513";"2456";"1995";"640";"120";"1609";"739";"124";"124";"376";"819";"1.093";"1.618"
"Gas";" PISCINA CAN GIBERT DEL PLA";"Piscina";"";"0";"185.328";"157.694";"16.313";"198.611";"47.295";"56.871";"31.195";"34.899";"62.655";"112.393";"112.678";"171.214";"9.283";"7.818";"928";"9.611";"2.389";"2.827";"1.483";"1.623";"2.801";"4.684";"4.688";"7.092"
"Gas";" PAVELLÓ DE FONTAJAU";"Esportiu";"";"0";"126.643";"259.279";"19.031";"207.255";"7.125";"5.807";"5.469";"5.410";"6.280";"8.705";"121.560";"205.341";"6.411";"12.799";"1.079";"10.042";"491";"424";"387";"382";"415";"503";"5.066";"8.498"
"Gas";" ESCOLA MARTA MATA";"Educació";"";"0";"69.719";"51.972";"3.482";"17.505";"3.770";"486";"0";"0";"7.440";"6.694";"32.644";"43.335";"3.569";"2.656";"294";"956";"304";"143";"124";"124";"438";"395";"1.441";"1.885"
"Gas";" ESCOLA BRESSOL LA BALDUFA";"Educació";"";"0";"11.363";"7.827";"5.398";"0";"0";"0";"0";"0";"204";"528";"5.725";"15.224";"732";"486";"361";"70";"73";"70";"73";"73";"79";"95";"322";"743"
"Gas";" PAVELLÓ DE PALAU";"Esportiu";"";"0";"19.458";"13.079";"1.798";"61.650";"29.095";"4.390";"2.938";"2.933";"3.282";"4.284";"7.075";"15.411";"1.187";"835";"253";"3321";"1653";"378";"295";"294";"305";"342";"459";"834"
"Gas";" CAMP DE FUTBOL GERMANS SÀBAT";"Esportiu";"";"0";"5.836";"4.994";"4.471";"2.801";"2.562";"1.803";"1.877";"1.910";"2.816";"4.411";"2.907";"574";"378";"328";"303";"210";"198";"155";"159";"156";"191";"261";"192";"91"
"Gas";" PAVELLÓ DE PONT MAJOR";"Esportiu";"";"0";"20.248";"10.989";"11.747";"5.754";"5.746";"4.007";"3.930";"1.064";"1.128";"4.108";"3.975";"21.286";"1.330";"693";"740";"408";"410";"298";"295";"142";"141";"274";"265";"1.047"
"Gas";" CENTRE CÍVIC SANTA EUGÈNIA";"Cultural";"";"0";"13.109";"10.926";"1.114";"17983";"1772";"1657";"110";"53";"1055";"7462";"11.508";"16.042";"762";"637";"126";"989";"158";"150";"73";"70";"114";"391";"565";"769"
"Gas";" LLAR D'AVIS TAIALÀ";"Cultural";"";"0";"12.921";"9.904";"664";"0";"0";"4716";"4478";"5122";"4895";"326";"44";"14.322";"754";"583";"102";"65";"67";"307";"297";"330";"316";"83";"66";"693"
"Gas";" L'ESTACIÓ ESPAI JOVE";"Oficina";"";"0";"18.185";"12.354";"814";"0";"0";"1566";"56";"0";"0";"5.162";"3.854";"12.369";"1.037";"717";"115";"71";"73";"151";"149";"163";"154";"299";"237";"613"
"Gas";" CENTRE CÍVIC PEDRET";"Cultural";"";"0";"4.582";"3.049";"2.744";"577";"500";"0";"55";"242";"290";"491";"1.499";"5.778";"334";"233";"222";"106";"105";"80";"85";"95";"92";"97";"146";"367"
"Gas";" CAMP DE FUTBOL DE CAN GIBERT";"Esportiu";"";"0";"7.864";"4.739";"5.066";"1.141";"1.103";"0";"0";"0";"0";"0";"0";"0";"543";"315";"337";"126";"131";"124";"129";"128";"124";"130";"125";"125"
"Gas";"ESCOLA DOMENY";"Educació";"";"0";"48.117";"43.839";"3.004";"50.685";"17.338";"2.284";"455";"55";"5.585";"19.310";"38.411";"42.870";"2.489";"2.246";"258";"2.528";"939";"217";"131";"114";"346";"893";"1.662";"1.854"
"Gas";"EDUEBOLIV - ESCOLA BRESSOL L'OLIVERA";"Educació";"";"0";"477";"437";"392";"0";"0";"0";"21";"164";"204";"442";"406";"331";"36";"33";"31";"8";"8";"8";"9";"16";"18";"29";"27";"24"
"Gas";" HABITATGE AGUDES 69 - 3R 1A";"Residencial";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"LA MARFÀ";"Oficina";"";"0";"30.485";"21.688";"2.162";"11.856";"0";"0";"0";"0";"0";"7.558";"16.341";"23.948";"1.617";"1.165";"217";"674";"111";"108";"111";"111";"108";"417";"769";"1.086"
"Gas";" ESCOLA BRESSOL LA DEVESA";"Educació";"";"0";"460";"483";"468";"291";"301";"289";"232";"40";"110";"358";"462";"715";"35";"36";"35";"24";"25";"24";"21";"10";"13";"25";"30";"43"
"Gas";" ESCOLA PERICOT";"Educació";"";"0";"37.167";"31.666";"9.095";"16.724";"7.573";"162";"0";"0";"6.170";"10.632";"21.716";"26.608";"1.922";"1.638";"543";"895";"461";"104";"100";"100";"356";"534";"975";"1.188"
"Gas";" HABITATGE RONDA PEDRET 6- 2N 2A";"Residencial";"";"0";"286";"1.036";"1.192";"1494";"1333";"440";"456";"460";"701";"1596";"1672";"2257";"18";"67";"76";"92";"84";"34";"35";"34";"45";"88";"92";"122"
"Gas";" EDIFICI HABITATGES TORIN";"Residencial";"";"0";"31.160";"26.149";"1.777";"48.364";"11.606";"7.086";"5.654";"5.069";"5.643";"12.648";"21.417";"31.201";"1.645";"1.377";"192";"2411";"660";"440";"348";"322";"343";"618";"969";"1.374"
"Gas";" ESCOLA EIXIMENIS";"Educació";"";"0";"13.686";"9.141";"872";"1.217";"1571";"152";"0";"0";"0";"3039";"6.259";"15.241";"793";"548";"119";"133";"153";"78";"73";"73";"70";"204";"342";"739"
"Gas";" ESCOLA CASSIA COSTAL";"Educació";"";"0";"5.600";"6.374";"5.057";"6";"4";"0";"0";"0";"583";"2009";"3.376";"6.045";"335";"381";"304";"8";"8";"8";"8";"8";"36";"106";"173";"303"
"Gas";" HABITATGE GUADIANA 29 - BX 1A";"Residencial";"";"0";"679";"317";"339";"241";"283";"583";"578";"219";"236";"598";"634";"1162";"47";"26";"28";"21";"24";"40";"41";"33";"32";"39";"40";"67"
"Gas";" HABITATGE GUADIANA 29 BX-4";"Residencial";"";"0";"1981";"1095";"1170";"519";"581";"966";"955";"333";"429";"1985";"2073";"3558";"122";"71";"76";"37";"41";"61";"63";"54";"56";"108";"114";"208"
"Gas";" HABITATGE AURORA BERTRANA I SALAZAR 2 - 1R 6A";"Residencial";"";"0";"77";"52";"56";"75";"90";"197";"199";"127";"153";"594";"841";"3.339";"9";"7";"8";"9";"10";"16";"17";"16";"17";"39";"53";"200"
"Gas";" HABITATGE GUADIANA 29 - 1R 2A";"Residencial";"";"0";"756";"302";"322";"183";"183";"127";"130";"121";"121";"177";"215";"632";"54";"24";"25";"16";"16";"12";"12";"11";"11";"14";"16";"43"
"Gas";" HABITATGE AGUDES 69 - 4T 6A";"Residencial";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gas";"LOCAL PONT MAJOR 65";"Altres";"";"0";"1006";"0";"0";"312";"312";"5";"6";"6";"7";"46";"44";"488";"70";"4";"4";"24";"25";"24";"25";"25";"24";"27";"26";"32"
"Gas";" HABITATGE AURORA BERTRANA I SALAZAR 6-8- 1C";"Residencial";"";"0";"1255";"576";"616";"243";"260";"332";"328";"109";"165";"1033";"1124";"2312";"80";"41";"44";"21";"23";"26";"27";"27";"28";"60";"66";"145"
"Gas";" CASA PASTORS";"Cultural";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9";"9";"9";"9";"9";"9";"9";"9";"9";"9";"9";"9"
"Gas";" HABITATGE GUADIANA 29 - 1R 9A";"Residencial";"";"0";"2.020";"1637";"1750";"365";"362";"221";"229";"236";"253";"613";"680";"1.511";"125";"103";"110";"28";"28";"20";"20";"20";"21";"37";"41";"84"
"Gas";" HABITATGE GUADIANA 29 - 2N 3A";"Residencial";"";"0";"1396";"794";"848";"236";"300";"794";"799";"489";"521";"1225";"1295";"2357";"88";"54";"58";"21";"25";"51";"53";"46";"46";"69";"74";"149"
"Gas";" HABITATGE GUADIANA 29 - 1R 3A";"Residencial";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"6"
"Gas";" ZONA ESPORTIVA DEVESA";"Esportiu";"";"0";"6045";"4601";"3649";"0";"1389";"4631";"4823";"4916";"3268";"-215";"2504";"7428";"390";"307";"261";"65";"136";"295";"302";"295";"216";"56";"174";"394"
"Gas";" HABITATGE RONDA PEDRET 2 - 3R 2A";"Residencial";"";"0";"527";"455";"434";"208";"305";"656";"627";"482";"542";"816";"751";"616";"38";"34";"33";"19";"25";"44";"45";"45";"44";"49";"45";"38"
"Gas";" HABITATGE AGUDES 69 - 6E 6A";"Residencial";"";"0";"2.517";"2.289";"1.565";"1309";"715";"247";"126";"65";"238";"312";"101";"0";"171";"155";"107";"90";"51";"20";"12";"8";"18";"23";"10";"4"
"Gas";" HABITATGE GUADIANA 29 - 2N 8A";"Residencial";"";"0";"890";"420";"449";"150";"174";"344";"343";"161";"182";"567";"599";"1084";"63";"32";"34";"13";"15";"26";"26";"23";"23";"38";"42";"93"
"Gas";" POLICIA MUNICIPAL";"Oficina";"";"0";"28783";"35588";"3643";"27149";"48492";"12937";"1328";"2380";"2890";"17039";"33663";"52442";"2084";"1950";"289";"1404";"2426";"723";"171";"213";"231";"801";"1470";"2245"
"Gas";"CAN BORRASSÓ";"Altres";"";"0";"0";"0";"0";"0";"0";"0";"0";"77";"332";"371";"369";"458";"0";"0";"0";"0";"0";"0";"0";"15";"63";"28";"25";"31"
"Gasoil_Biomassa";" AJUNTAMENT";"Oficina";"";"0";"7.286";"6.816";"7.286";"7.051";"7.286";"7.051";"7.286";"7.286";"7.051";"3.980";"3.852";"3.980";"524";"490";"524";"507";"524";"507";"524";"524";"507";"182";"176";"182"
"Gasoil_Biomassa";" CENTRE CULTURAL LA MERCÈ";"Cultural";"";"0";"67.343";"34.577";"10.745";"10.399";"10.745";"10.399";"10.745";"10.745";"10.399";"10.745";"25.924";"42.830";"4.939";"2.495";"682";"660";"682";"660";"682";"682";"660";"682";"1.262";"1.927"
"Gasoil_Biomassa";" CEE PALAU";"Educació";"";"0";"13.340";"11.900";"12.142";"11.751";"12.142";"11.751";"12.142";"12.142";"11.751";"12.142";"11.751";"12.142";"946";"800";"770";"746";"770";"746";"770";"770";"746";"770";"746";"770"
"Gasoil_Biomassa";" ESCOLA ANNEXA-JOAN PUIGBERT";"Educació";"";"0";"35244";"18109";"19.358";"18.734";"19.358";"18.734";"19.358";"19.358";"18.734";"19.358";"18.734";"63.281";"2465";"1243";"1328";"1.285";"1.328";"1.285";"1.328";"1.328";"1.285";"1.328";"1.285";"3.364"
"Gasoil_Biomassa";" ESCOLA CARME AUGUET";"Educació";"";"0";"32.790";"9.910";"817";"790";"817";"790";"817";"817";"6.246";"10.765";"10.417";"10.765";"1.088";"329";"27";"26";"27";"26";"27";"27";"207";"357";"346";"357"
"Gasoil_Biomassa";" ESCOLA CASSIA COSTAL";"Educació";"";"0";"8.506";"7.957";"8.506";"8.231";"8.506";"8.231";"8.506";"8.506";"23.298";"24.611";"23.817";"24.611";"591";"553";"591";"572";"591";"572";"591";"591";"1.145";"1.203";"1.165";"1.203"
"Gasoil_Biomassa";" ESCOLA DALMAU CARLES";"Educació";"";"0";"13.245";"12.379";"13.233";"12.806";"13.233";"12.806";"13.233";"13.233";"12.806";"22.908";"29.880";"30.876";"971";"915";"978";"947";"978";"947";"978";"978";"947";"1240";"1408";"1455"
"Gasoil_Biomassa";" ESCOLA FONT DE LA POLVORA";"Educació";"";"0";"10.213";"14.604";"15.611";"15.108";"15.611";"15.108";"15.611";"15.611";"15.108";"15.611";"15.108";"15.611";"855";"1.002";"1.071";"1037";"1071";"1037";"1071";"1071";"1037";"1071";"1037";"1071"
"Gasoil_Biomassa";" ESCOLA JOAN BRUGUERA";"Educació";"";"0";"24.248";"5.619";"6.007";"5.813";"6.007";"5.813";"6.007";"6.007";"5.813";"16.782";"17.786";"23.975";"1.698";"394";"421";"407";"421";"407";"421";"421";"407";"785";"812";"1.154"
"Gasoil_Biomassa";" ESCOLA MARE DE DEU DEL MONT";"Educació";"";"0";"30.800";"14.960";"15.992";"15.476";"15.992";"15.476";"15.992";"15.992";"15.476";"26.198";"27.724";"28.648";"2.212";"1.026";"1.097";"1.062";"1.097";"1.062";"1.097";"1.097";"1.062";"1.271";"1.270";"1.313"
"Gasoil_Biomassa";" ESCOLA MIGDIA";"Educació";"";"0";"12.184";"11.398";"12.184";"11.791";"12.184";"11.791";"12.184";"12.184";"11.791";"227.826";"-60.156";"-62.161";"853";"798";"853";"825";"853";"825";"853";"853";"825";"10.405";"-2.745";"-2.836"
"Gasoil_Biomassa";" ESCOLA MONTFALGARS";"Educació";"";"0";"34.395";"11.596";"12.395";"11.996";"12.395";"11.996";"12.395";"12.395";"11.996";"17.626";"51.223";"52.930";"2.405";"796";"851";"823";"851";"823";"851";"851";"823";"1.056";"2.365";"2.444"
"Gasoil_Biomassa";" ESCOLA PLA DE GIRONA";"Educació";"";"0";"42296";"24.931";"13.938";"13.489";"13.938";"13.489";"13.938";"13.938";"13.489";"13.938";"13.489";"13.938";"3045";"1733";"884";"856";"884";"856";"884";"884";"856";"884";"856";"884"
"Gasoil_Biomassa";" ESCOLA TAIALÀ";"Educació";"";"0";"121.912";"80.233";"18.515";"10.945";"11.310";"10.945";"11.310";"11.310";"10.945";"11.310";"10.945";"81.122";"8911";"5.505";"1.193";"668";"690";"668";"690";"690";"668";"690";"668";"4.129"
"Gasoil_Biomassa";" ESCOLA VERD";"Educació";"";"0";"43.663";"35.969";"13.424";"12.991";"13.424";"12.991";"13.424";"13.424";"12.991";"13.424";"12.991";"13.424";"3108";"2549";"884";"856";"884";"856";"884";"884";"856";"884";"856";"884"
"Gasoil_Biomassa";" SERVEI MUNICIPAL D'OCUPACIÓ";"Oficina";"";"0";"24.216";"7.351";"5.241";"5.072";"5.241";"5.072";"5.241";"5.241";"5.072";"5.241";"38.681";"30.479";"1.718";"497";"341";"330";"341";"330";"341";"341";"330";"341";"1789";"1.544"
"Gasoil_Biomassa";" POLICIA MUNICIPAL";"Oficina";"";"0";"3.745";"3.504";"3.745";"3.624";"3.745";"3.624";"3.745";"3.745";"3.624";"3.745";"3.624";"3.745";"273";"255";"273";"264";"273";"264";"273";"273";"264";"273";"264";"273"
"Gasoil_Biomassa";"CEE FONT DE L'ABELLA";"Educació";"";"0";"61.107";"68.538";"37.729";"14.792";"15.285";"14.792";"15.285";"15.285";"14.792";"4.755";"4.602";"75.180";"4.443";"5.007";"2619";"864";"893";"864";"893";"893";"864";"218";"211";"3.900"
"Gasoil_Biomassa";" ESCOLA VILA-ROJA";"Educació";"";"0";"2.303";"1.337";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"65";"37";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Gasoil_Biomassa";" ESCOLA STA. EUGÈNIA";"Educació";"";"0";"4.556";"4.262";"4.556";"4.409";"4.556";"4.409";"4.556";"4.556";"4.409";"4.556";"4.409";"4.556";"286";"268";"286";"277";"286";"277";"286";"286";"277";"286";"277";"286"
"Gasoil_Biomassa";" BEATES";"Oficina";"";"0";"1.187";"1.111";"1.187";"1.149";"1.187";"1.149";"1.187";"1.187";"1.149";"1.187";"1.149";"1.187";"75";"70";"75";"72";"75";"72";"75";"75";"72";"75";"72";"75"
"Gasoil_Biomassa";" PAVELLÓ DE FONTAJAU";"Esportiu";"";"0";"11081";"13601";"1308";"1266";"1308";"1266";"1308";"1308";"1266";"1308";"1266";"1308";"782";"937";"86";"83";"86";"83";"86";"86";"83";"86";"83";"86"
"Gasoil_Biomassa";" PAVELLÓ MONTFALGARS";"Esportiu";"";"0";"7.371";"19.095";"3.271";"3.166";"3.271";"3.166";"3.029";"2.645";"2.560";"2.645";"2.560";"2.645";"463";"1200";"213";"206";"213";"206";"192";"160";"155";"160";"155";"160"
